epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.768,0.03721,1,1,0.314,0.00331825,0.00331825,0.00331825
2,75.7441,0.00032,1,1,0.31345,0.00661866,0.00661866,0.00661866
3,107.698,9e-05,1,1,0.31326,0.00988607,0.00988607,0.00988607
4,139.45,3e-05,1,1,0.31323,0.0098515,0.0098515,0.0098515
5,171.533,2e-05,1,1,0.31323,0.009802,0.009802,0.009802
6,205.617,1e-05,1,1,0.31323,0.0097525,0.0097525,0.0097525
7,238.546,1e-05,1,1,0.31323,0.009703,0.009703,0.009703
8,271.154,1e-05,1,1,0.31323,0.0096535,0.0096535,0.0096535
9,303.731,1e-05,1,1,0.31323,0.009604,0.009604,0.009604
10,337.705,1e-05,1,1,0.31323,0.0095545,0.0095545,0.0095545
11,370.331,1e-05,1,1,0.31323,0.009505,0.009505,0.009505
12,403.361,1e-05,1,1,0.31323,0.0094555,0.0094555,0.0094555
13,436.12,1e-05,1,1,0.31323,0.009406,0.009406,0.009406
14,468.928,1e-05,1,1,0.31323,0.0093565,0.0093565,0.0093565
15,502.194,0,1,1,0.31323,0.009307,0.009307,0.009307
16,534.511,0,1,1,0.31323,0.0092575,0.0092575,0.0092575
17,567.233,0,1,1,0.31323,0.009208,0.009208,0.009208
18,599.765,0,1,1,0.31323,0.0091585,0.0091585,0.0091585
19,633.817,0,1,1,0.31323,0.009109,0.009109,0.009109
20,666.676,0,1,1,0.31323,0.0090595,0.0090595,0.0090595
21,699.663,0,1,1,0.31323,0.00901,0.00901,0.00901
22,732.659,0,1,1,0.31323,0.0089605,0.0089605,0.0089605
23,766.777,0,1,1,0.31323,0.008911,0.008911,0.008911
24,799.531,0,1,1,0.31323,0.0088615,0.0088615,0.0088615
25,831.868,0,1,1,0.31323,0.008812,0.008812,0.008812
26,864.286,0,1,1,0.31323,0.0087625,0.0087625,0.0087625
27,898.206,0,1,1,0.31323,0.008713,0.008713,0.008713
28,930.84,0,1,1,0.31323,0.0086635,0.0086635,0.0086635
29,963.481,0,1,1,0.31323,0.008614,0.008614,0.008614
30,996.056,0,1,1,0.31323,0.0085645,0.0085645,0.0085645
31,1030.67,0,1,1,0.31323,0.008515,0.008515,0.008515
32,1063.44,0,1,1,0.31323,0.0084655,0.0084655,0.0084655
33,1095.84,0,1,1,0.31323,0.008416,0.008416,0.008416
34,1129.25,0,1,1,0.31323,0.0083665,0.0083665,0.0083665
35,1162.57,0,1,1,0.31323,0.008317,0.008317,0.008317
36,1196.71,0,1,1,0.31323,0.0082675,0.0082675,0.0082675
37,1229.22,0,1,1,0.31323,0.008218,0.008218,0.008218
38,1261.76,0,1,1,0.31323,0.0081685,0.0081685,0.0081685
39,1294.18,0,1,1,0.31323,0.008119,0.008119,0.008119
40,1328.74,0,1,1,0.31323,0.0080695,0.0080695,0.0080695
41,1361.2,0,1,1,0.31323,0.00802,0.00802,0.00802
42,1393.76,0,1,1,0.31323,0.0079705,0.0079705,0.0079705
43,1426.18,0,1,1,0.31323,0.007921,0.007921,0.007921
44,1458.74,0,1,1,0.31323,0.0078715,0.0078715,0.0078715
45,1492.39,0,1,1,0.31323,0.007822,0.007822,0.007822
46,1524.16,0,1,1,0.31323,0.0077725,0.0077725,0.0077725
47,1556.41,0,1,1,0.31323,0.007723,0.007723,0.007723
48,1588.38,0,1,1,0.31323,0.0076735,0.0076735,0.0076735
49,1621.97,0,1,1,0.31323,0.007624,0.007624,0.007624
50,1654.32,0,1,1,0.31323,0.0075745,0.0075745,0.0075745
51,1686.7,0,1,1,0.31323,0.007525,0.007525,0.007525
52,1719.27,0,1,1,0.31323,0.0074755,0.0074755,0.0074755
53,1753.24,0,1,1,0.31323,0.007426,0.007426,0.007426
54,1785.66,0,1,1,0.31323,0.0073765,0.0073765,0.0073765
55,1818.05,0,1,1,0.31323,0.007327,0.007327,0.007327
56,1850.53,0,1,1,0.31323,0.0072775,0.0072775,0.0072775
57,1884.55,0,1,1,0.31323,0.007228,0.007228,0.007228
58,1917.05,0,1,1,0.31323,0.0071785,0.0071785,0.0071785
59,1949.6,0,1,1,0.31323,0.007129,0.007129,0.007129
60,1982.19,0,1,1,0.31323,0.0070795,0.0070795,0.0070795
61,2014.69,0,1,1,0.31323,0.00703,0.00703,0.00703
62,2048.82,0,1,1,0.31323,0.0069805,0.0069805,0.0069805
63,2081.37,0,1,1,0.31323,0.006931,0.006931,0.006931
64,2114.01,0,1,1,0.31323,0.0068815,0.0068815,0.0068815
65,2146.61,0,1,1,0.31323,0.006832,0.006832,0.006832
66,2180.33,0,1,1,0.31323,0.0067825,0.0067825,0.0067825
67,2213.04,0,1,1,0.31323,0.006733,0.006733,0.006733
68,2245.67,0,1,1,0.31323,0.0066835,0.0066835,0.0066835
69,2278.16,0,1,1,0.31323,0.006634,0.006634,0.006634
70,2312.56,0,1,1,0.31323,0.0065845,0.0065845,0.0065845
71,2345.12,0,1,1,0.31323,0.006535,0.006535,0.006535
72,2377.71,0,1,1,0.31323,0.0064855,0.0064855,0.0064855
73,2410.21,0,1,1,0.31323,0.006436,0.006436,0.006436
74,2442.9,0,1,1,0.31323,0.0063865,0.0063865,0.0063865
75,2477.13,0,1,1,0.31323,0.006337,0.006337,0.006337
76,2509.83,0,1,1,0.31323,0.0062875,0.0062875,0.0062875
77,2542.36,0,1,1,0.31323,0.006238,0.006238,0.006238
78,2575.04,0,1,1,0.31323,0.0061885,0.0061885,0.0061885
79,2609.66,0,1,1,0.31323,0.006139,0.006139,0.006139
80,2642.36,0,1,1,0.31323,0.0060895,0.0060895,0.0060895
81,2674.96,0,1,1,0.31323,0.00604,0.00604,0.00604
82,2707.71,0,1,1,0.31323,0.0059905,0.0059905,0.0059905
83,2742.33,0,1,1,0.31323,0.005941,0.005941,0.005941
