epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,42.0443,2.43266,0.34468,0.77447,2.3877,0.00331825,0.00331825,0.00331825
2,75.8541,2.27176,0.30638,0.76596,2.3584,0.00661866,0.00661866,0.00661866
3,108.671,2.13461,0.31489,0.6766,2.40308,0.00988607,0.00988607,0.00988607
4,141.194,2.13286,0.44681,0.86809,2.28174,0.0098515,0.0098515,0.0098515
5,173.962,2.11134,0.41702,0.87234,2.31323,0.009802,0.009802,0.009802
6,206.718,2.10369,0.12766,0.63404,2.45386,0.0097525,0.0097525,0.0097525
7,239.403,2.02605,0.39149,0.84681,2.31445,0.009703,0.009703,0.009703
8,271.981,1.95195,0.42553,0.86809,2.34741,0.0096535,0.0096535,0.0096535
9,304.483,1.93253,0.34043,0.86809,2.29346,0.009604,0.009604,0.009604
10,337.232,1.84926,0.48511,0.90213,2.23364,0.0095545,0.0095545,0.0095545
11,370.279,1.81676,0.51064,0.91915,2.26147,0.009505,0.009505,0.009505
12,403.25,1.73229,0.39574,0.80851,2.32349,0.0094555,0.0094555,0.0094555
13,435.843,1.68407,0.49787,0.91064,2.18445,0.009406,0.009406,0.009406
14,468.618,1.65771,0.40426,0.94043,2.22119,0.0093565,0.0093565,0.0093565
15,501.24,1.57717,0.54468,0.90213,2.21729,0.009307,0.009307,0.009307
16,534.097,1.57136,0.54468,0.94468,2.2334,0.0092575,0.0092575,0.0092575
17,566.909,1.49256,0.55319,0.94468,2.15674,0.009208,0.009208,0.009208
18,599.797,1.50788,0.48511,0.90213,2.24609,0.0091585,0.0091585,0.0091585
19,632.497,1.44536,0.59149,0.94043,2.13037,0.009109,0.009109,0.009109
20,665.418,1.3648,0.65532,0.94043,2.15942,0.0090595,0.0090595,0.0090595
21,698.305,1.35781,0.56596,0.92766,2.17456,0.00901,0.00901,0.00901
22,730.983,1.30382,0.60426,0.94043,2.15601,0.0089605,0.0089605,0.0089605
23,763.618,1.2725,0.51064,0.88511,2.229,0.008911,0.008911,0.008911
24,796.149,1.22195,0.55319,0.89362,2.19385,0.0088615,0.0088615,0.0088615
25,828.644,1.2114,0.5234,0.91064,2.1731,0.008812,0.008812,0.008812
26,861.152,1.17445,0.50638,0.91064,2.19092,0.0087625,0.0087625,0.0087625
27,893.804,1.14047,0.5617,0.9234,2.15601,0.008713,0.008713,0.008713
28,926.463,1.13576,0.52766,0.90638,2.19287,0.0086635,0.0086635,0.0086635
29,959.091,1.06264,0.5617,0.94894,2.20239,0.008614,0.008614,0.008614
30,991.77,1.04595,0.5617,0.91915,2.17505,0.0085645,0.0085645,0.0085645
31,1024.52,1.01137,0.51915,0.8766,2.19312,0.008515,0.008515,0.008515
32,1057.22,0.96068,0.48511,0.89362,2.24927,0.0084655,0.0084655,0.0084655
33,1090.06,0.91774,0.49787,0.90638,2.20703,0.008416,0.008416,0.008416
34,1122.7,0.8997,0.58298,0.94894,2.1377,0.0083665,0.0083665,0.0083665
35,1155.37,0.91009,0.5234,0.95319,2.16187,0.008317,0.008317,0.008317
36,1188.34,0.88467,0.46383,0.88085,2.20825,0.0082675,0.0082675,0.0082675
37,1220.86,0.86136,0.56596,0.94894,2.12842,0.008218,0.008218,0.008218
